agency,description,name,price
"West Valley Real Estate, Inc.","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,065'}",2961 Hunters Road Buckskin Acres Unit 4,"$149,000"
Diane Dahlin's Pine Rim Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '781'}",2030 Wilderness Drive Holiday Forest,"$149,900"
Diane Dahlin's Pine Rim Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,933'}",2751 Challenger Drive Mogoloon Air Park Unit 4B,"$779,500"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,961'}",2873 Little Hawk Trail 0,"$615,000"
Perkinson Properties Llc,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,600'}",3364 Navajo Drive Zane Grey Acres Unit 3,"$425,000"
"Home Centric Real Estate, Llc","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,017'}",2876 Caribou Trail Aztec Pines Unit 2,"$338,000"
Signature Premier Realty Llc,"{'Beds': '2', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '469'}",2888 Dale Road Buckskin Mobile Homesites,"$187,000"
"Real Broker Az, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,125'}",2282 Lindbergh Road Mogollon Air Park,"$459,990"
Diane Dahlin's Pine Rim Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,208'}",1911 Twin Pines Trail Timberlake Pines Pinewoods Unit 2,"$539,000"
Diane Dahlin's Pine Rim Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '841'}",3416 Lodge Road Aripine,"$200,000"
Realty Executives,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '5,086'}","273 E Highline Drive Knolls Unit One, Plat 636","$1,795,000"
"Keller Williams, Professional","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,406'}",13860 S Bluebird Ln Spring Valley 2,"$389,900"
Integra Homes And Land,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,585'}",1010 N Scenic Drive Chaparral Pines Phase 1,"$1,695,000"
Integra Homes And Land,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,312'}","603 N Grapevine Drive Lot 447, Chaparral Pines Phase 2","$1,690,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '2 F 1 3/4', 'Sq.Ft.': '1,792'}",20574 E Park View Ln Cordes Lakes Unit 8,"$319,000"
Woods Hometown Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,080'}",20785 E Antelope Rd Cordes Lakes Unit 1,"$224,500"
Lee Harding,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '4,310'}",1013 N Scenic Drive Chaparral Pines Phase 1,"$1,600,000"
Hughes Realty & Investments,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,263'}",1807 E Cliff Rose Drive Chaparral Pines,"$1,509,900"
Realty One Group,"{'Beds': '3', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,691'}",193 S Union Park Drive The Knolls 3,"$1,500,000"
"Kooiman Realty, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,249'}",10801 S Saguaro Dr  ,"$699,000"
"Kooiman Realty, Llc","{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '1,026'}",17150 E Apricot Ln Spring Valley,"$179,900"
Era-Young Realty & Investment,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,836'}",513 N Grapevine Drive Chaparral Pines Phase 2,"$1,499,999"
West Usa Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '5,200'}",318 E Highline Drive The Knolls,"$1,460,000"
West Usa Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,512'}",607 N Redbud Circle Chaparral Pines,"$1,450,000"
Iannelli And Associates,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,530'}",12370 E Jacobs Rd  ,"$285,000"
Bear Creek Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,276'}",20186 E Saguaro Dr Cordes Lakes Unit #1,"$350,000"
Insight Land & Investments,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,682'}",1108 N Indian Paintbrush Circle Chaparral Pines Phase 1,"$1,395,000"
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,324'}",1810 E Desert Mimosa Drive Chaparral Pines,"$1,375,000"
Woods Hometown Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,621'}",17240 E Lakeview Dr Spring Valley Unit 2,"$114,400"
My Home Group,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '841'}",20671 E Mingus Dr Cordes Lakes Unit #8,"$220,000"
Berkshire Hathaway Homeservices Prescott,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,107'}",12871 E Central Ave Segner Sub,"$225,000"
"Congress Realty, Inc.","{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,736'}",2501 E Morning Glory Circle Chaparral Pines Phase 2,"$1,350,000"
The Shelly Watne Group,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,379'}",20049 E Pinto Dr Cordes Lakes Unit #6,"$349,900"
RE/MAX Desert Showcase,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,120'}",14182 S Spring Ln Spring Valley,"$245,000"
Homesmart,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,286'}",44321 N 11th Street Na,"$765,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,565'}",4121 W Copper Moon Way Circle Mountain Ranch,"$749,000"
Realty One Group,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,705'}",45239 N 16th Street Custom Home,"$747,500"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,496'}",47706 N 24th Lane Metes And Bounds,"$715,000"
Homesmart,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '3,126'}",47206 N New River Road Unkown,"$700,000"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,762'}",44013 N Parker Court Arroyo Norte Unit 5 6 And 7 Replat,"$695,500"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,128'}",4939 W Magellan Drive Anthem Unit 81C,"$675,000"
Az Flat Fee,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,707'}",4624 W Heyerdahl Court Anthem West Unit 2,"$675,000"
Delex Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,666'}",44004 N 50th Lane Anthem Unit 81B,"$674,900"
Century 21 Northwest,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,887'}",48025 N 15th Avenue N/A,"$650,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,679'}",48425 N 13th Avenue N/A,"$645,000"
RE/MAX Desert Showcase,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,356'}",3831 W Lanham Drive Arroyo Norte Unit 5 6 And 7 Replat,"$614,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '7', 'Sq.Ft.': '10,656'}",6044 N 44th Place Sanctuary,"$14,900,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '8,507'}",6126 E Joshua Tree Lane Egyptian Hills,"$14,000,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '7,500'}",6515 E Bluebird Lane Tbd,"$14,000,000"
The Noble Agency,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '6,691'}",5540 N Casa Blanca Drive Cameldale Estates,"$14,000,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '9,301'}",8601 N 59th Place Equestrian Trails,"$13,500,000"
Retsy,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '8,320'}",7236 N 40th Street #8 Crown Canyon,"$12,900,000"
Retsy,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '7,113'}",5109 E Rovey Avenue Hacienda Terrace,"$12,250,000"
Launch Powered By Compass,"{'Beds': '6', 'Baths': '9', 'Sq.Ft.': '11,739'}",7533 N 70th Street N/A,"$12,000,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '7,870'}",6525 E Bluebird Lane Bluebird Estates 2,"$11,900,000"
Modern Portfolio Real Estate Services,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '5,458'}",4451 E Joshua Tree Lane Paradise Highlands Estate,"$10,900,000"
America One Luxury Real Estate,"{'Beds': '7', 'Baths': '9', 'Sq.Ft.': '10,480'}",5505 N Casa Blanca Drive Paradise Valley,"$10,595,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '8,800'}",4420 E Clearwater Parkway Clearwater Hills Prvt Roads & Tr A,"$10,500,000"
Emg Real Estate,"{'Beds': '5', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,598'}",20358 N Valencia Drive Tortosa Nw Parcel 9,"$599,000"
Rhouse Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,954'}",22154 N Balboa Drive Rancho El Dorado,"$599,000"
"Opendoor Brokerage, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,786'}",42788 W Bravo Drive Phase Ii Parcel 14 At Rancho El Dorado,"$596,000"
West Usa Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,553'}",21210 N Festival Lane Province Parcel 3 2015053756,"$595,000"
"Kd Realty, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,214'}",54446 W Quail Run Road Rural-Non Subdivision,"$589,900"
Rhouse Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,293'}",41823 W Sussex Drive Glennwilde,"$579,400"
Realty One Group,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,267'}",20807 N Grantham Road Parcel 24 At Homestead North,"$579,000"
The Maricopa Real Estate Co,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,044'}",52570 W Cardinal Road Hidden Valley Estates Unit 9,"$575,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,780'}",40771 W Little Drive Rancho El Dorado Phase Iii Parcel 39/51,"$569,900"
Richmond American Homes,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,500'}",22304 N Daniel Drive Rancho El Dorado Phase Iii Parcel 43/48,"$566,995"
Richmond American Homes,"{'Beds': '5', 'Baths': '2', 'Sq.Ft.': '3,030'}",40384 W Wade Drive Rancho El Dorado Phase Iii Parcel 52,"$555,995"
Homesmart Success,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,827'}",36812 W Mattino Lane Sorrento Parcel 1,"$550,000"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,498'}",6821 N Sarival Avenue Rural,"$1,000,000"
Realty One Group Integrity,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,607'}",5284 N 182nd Lane Azure Canyon Parcel 4 Replat,"$1,000,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,511'}",1099 N Oro Vista Litchfield Park Subdivision No. 18,"$999,999"
Shebang Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '3,544'}",16059 W Orangewood Avenue None,"$949,000"
Exp Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,539'}",765 N Villa Nueva Drive Litchfield Park Subdivision No. 12 Unit 1,"$924,900"
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,419'}",5066 N 146th Drive Palm Valley Phase 9,"$920,000"
RE/MAX Professionals,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,869'}",4905 N Greentree Drive Litchfield Greens Lot 1-282 Tr 1-6,"$900,000"
David Weekley Homes,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,147'}",20179 W San Juan Avenue Canyon Views Phase 3 Unit 2,"$888,701"
David Weekley Homes,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,829'}",19947 W Luke Avenue Canyon Views Phase 3 Unit 1 Replat,"$884,280"
David Weekley Homes,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,450'}",19954 W Luke Avenue Canyon Views Phase 3 Unit 1 Replat,"$874,679"
David Weekley Homes,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,283'}",19971 W Luke Avenue Canyon Views Phase 3 Unit 1 Replat,"$857,811"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,988'}",18904 W Montebello Avenue Zanjero Trails Infrastructure Phase 1A & 1B Parcel,"$850,000"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,387'}",3518 E Kenwood Street Hermosa Groves South,"$2,150,000"
Luna Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,474'}",4317 N Deserts Gate Hidden Canyon At Las Sendas,"$2,100,000"
Top Rock Realty,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,917'}",3447 E Kenwood Street Hermosa Groves South,"$1,988,000"
"Call Realty, Inc.","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,850'}",8415 E Regina Circle Granite Mountain At Las Sendas,"$1,950,000"
Delex Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,506'}",2224 N 83rd Circle Hermosa Estates,"$1,750,000"
Perkinson Properties Llc,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,661'}",8323 E Regina Circle Private,"$1,725,000"
Keller Williams Arizona Realty,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '4,914'}",2351 N Channing Hermosa Estates,"$1,690,000"
Hague Partners,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,547'}",11409 E Minton Street Tonto Forest Estates,"$1,650,000"
Superlative Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,036'}",3944 E Juniper Circle Groves North,"$1,650,000"
Keller Williams Realty East Valley,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,988'}",3950 E Mclellan Road #15 Crossroads Estates,"$1,625,000"
Dpr Realty Llc,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,853'}",2549 S Gaucho Laguna Shores Amd,"$1,600,000"
Griggs's Group Powered By The Altman Brothers,"{'Beds': '6', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '6,756'}",23825 N 63rd Drive Softwind Estates,"$2,850,000"
Kor Properties,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '3,871'}",2632 N Brimhall Lehi,"$1,599,000"
Elexsis Caliskan,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '5,322'}",21648 N 55th Drive Arrowhead Lakes,"$2,500,000"
"Gkr Properties, Llc","{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,601'}",23429 N 65th Avenue Nonsubd,"$2,449,000"
Best Homes Real Estate,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,480'}",3137 W Baseline Road Youngs Acres,"$715,000"
"Delex Realty, Llc","{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '4,945'}",5136 W Soft Wind Drive Saddleback Estates 1,"$2,249,990"
A.Z. & Associates,"{'Beds': '6', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,591'}",5322 W Euclid Avenue Laveen Commons,"$715,000"
Lennar Sales Corp,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,604'}",4210 W Carmen Street Dobbins Village Amd,"$675,490"
"Towne Brokerage Services, Inc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,686'}",4940 W La Puenta Avenue Laveen Vistas Parcel 2 Phase 1,"$640,049"
Keller Williams Realty Phoenix,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,018'}",6746 W Winston Drive Mcclellan Ranch Parcels 2B & 3B,"$605,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,051'}",8420 S 40th Drive Arosa Estates,"$599,900"
"Towne Brokerage Services, Inc","{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,300'}",4944 W La Puenta Avenue Laveen Vistas Parcel 2 Phase 1,"$599,719"
"Isham Real Estate Group, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,025'}",3936 W La Mirada Drive Dobbins Village Amd,"$599,000"
Menke Real Estate Services,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '3,553'}",6840 W Carter Road Laveen Farms Unit 2,"$599,000"
Taylor Morrison (Mls Only),"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '2,934'}",5326 W Walatowa Street Tierra Montana Encore,"$599,000"
Homesmart,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,339'}",25937 W Ravina Lane N/A,"$695,000"
West Usa Realty,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '5,157'}",6605 W Avenida Del Sol Burnin Sky Ranch,"$1,750,000"
Taylor Morrison (Mls Only),"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,007'}",5411 W Notch Hill Road Tierra Montana Encore,"$599,000"
"Towne Brokerage Services, Inc","{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,617'}",4924 W La Puenta Avenue Laveen Vistas Parcel 2 Phase 1,"$598,984"
Western Az Ranch & Real Estate Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,870'}",40342 N 253rd Avenue Unknown,"$1,199,000"
Tinzie Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,188'}",25221 W Saddle Mountain Road Love Those Horses!,"$335,000"
Jpar Vantage,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '695'}",41238 N 260th Avenue Na,"$164,900"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,004'}",41644 N 277th Avenue None,"$450,000"
West Usa Realty,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,574'}",10823 N 59th Avenue Metes & Bounds,"$1,670,000"
Century 21 Toma Partners,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,700'}",17251 N 61st Avenue Urban Non Sub,"$1,649,000"
Hague Partners,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,652'}",24225 N 65th Avenue Tuscany Hills,"$1,595,000"
RE/MAX Excalibur,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,883'}",21633 N 61st Avenue Arrowhead,"$1,500,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '4,983'}",5136 W Park View Lane Park View Estates,"$1,500,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,683'}",6997 W Firebird Drive Sierra Verde Parcel C,"$1,460,000"
Century 21 Toma Partners,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,042'}",21062 N 76th Avenue Reserve At Eagle Heights,"$1,450,000"
Delex Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '12,294'}",9264 E Superstition Mountain Drive Superstition Mountains,"$7,376,400"
Delex Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '9,882'}",9356 E Superstition Mountain Drive Superstition Mountains,"$5,929,200"
Delex Realty,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '6,400'}",2946 S Petroglyph Trail Superstition Mountains,"$3,840,000"
Delex Realty,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,600'}",8275 E Sunset View Drive Superstition Mountains,"$3,360,000"
Thomas Popa & Associates Llc,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '6,538'}",7312 E Cottonwood Drive Superstition Mountain,"$3,250,000"
RE/MAX Alliance Group,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '5,918'}",3505 S First Water Trail Lost Gold Estates,"$2,890,000"
Elpis Real Estate Boutique,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,400'}",8736 E Quartz Mountain Drive Superstition Mountain,"$2,600,000"
Delex Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,900'}",8725 E Quartz Mountain Drive Superstition Mountains,"$2,340,000"
Realty One Group,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,086'}",9171 E Canyon View Trail Superstition Mountain,"$2,200,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,200'}",6620 E Flat Iron Loop Ponderosa Village At Superstition Foothills,"$2,199,000"
Thomas Popa & Associates Llc,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '3,910'}",8759 E Lost Gold Circle Superstition Mountain,"$1,995,000"
"Weichert, Realtors-Home Pro Realty","{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,927'}",7289 E Spanish Bell Lane Superstition Mountain,"$1,990,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '17', 'Baths': '14', 'Sq.Ft.': '10,191'}",1571 S Frs 87 None,"$2,499,990"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '6,475'}",2275 E Maple Street Rocky Mountain Heights,"$850,000"
Oak Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,100'}",9749 S Ice House Canyon Road Metes & Bounds,"$550,000"
Delex Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,436'}",2320 N Chaparral Loop Chaparral Estates,"$515,000"
Exp Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,541'}",725 E Sycamore Street East Globe Townsite,"$489,000"
Oak Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,100'}",2275 N Pinaleno Pass Road Pioneer Hills,"$484,500"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,080'}",219 N Chicory Lane El Capitan,"$399,700"
Stallings & Long Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,940'}",2369 N Escudilla Drive Pioneer Hills,"$399,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,120'}",443 N Mountain Lion Pass #---- No Subdivision- See Directions,"$390,000"
Keller Williams Realty Phoenix,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,934'}",591 W Miami Road West Globe Townsite,"$375,000"
Stallings & Long Realty,"{'Beds': '4', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '1,769'}",5768 S Mckinney Avenue Doc Butler Estates,"$289,000"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,710'}",277 N High Street Globe Townsite,"$285,000"
Realty Executives,"{'Beds': '1', 'Baths': '2', 'Sq.Ft.': '1,124'}",59112 S 319th Avenue N/A,"$499,999"
A.Z. & Associates,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '2,700'}",53251 S Old Us Highway 80 N/A,"$450,000"
The Noble Agency,"{'Beds': '6', 'Baths': '9', 'Sq.Ft.': '7,226'}",1480 E Raven Court Monarch Estates,"$5,300,000"
Trelora Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,160'}",16808 W Fairmount Avenue Pebblecreek Phase 2 Unit 47A,"$995,000"
The Offer Company,"{'Beds': '6', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,109'}",18372 W Monterosa Street Sedella Parcel 4B,"$968,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,544'}",16800 W Fairmount Avenue Pebblecreek Phase 2 Unit 47A,"$961,429"
Realty One Group,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,538'}",16434 W Berkeley Road Pebblecreek Phase 2 Unit 58,"$949,900"
Arizona Home Shopper,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,134'}",15886 W Ashland Avenue Palm Valley Phase 8 North Parcel,"$949,000"
Exp Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,810'}",3525 N 159th Lane Pebblecreek,"$945,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,395'}",16768 W Fairmount Avenue Pebblecreek Phase 2 Unit 47A,"$928,899"
Jk Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '4,552'}",3374 E Houston Avenue Metes And Bounds - No Subdiv.,"$5,200,000"
RE/MAX Desert Showcase,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,826'}",2035 N 159th Avenue Palm Valley Phase 8 North Parcel,"$925,000"
Az Performance Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,205'}",16727 W Edgemont Avenue Pebblecreek,"$909,900"
The Rodney Jackson Company,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,956'}",3754 N 164th Avenue Pebblecreek Phase 2 Unit 43A Various Lots Tract A,"$895,500"
Realty One Group,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,401'}",15802 W Avalon Drive Pebblecreek Phase 2 Unit 27,"$895,000"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,998'}",18143 W Estes Way Estrella Mountain Ranch,"$889,500"
RE/MAX Foothills,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,765'}",2021 S 140th Street Casa Caballo,"$4,000,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,055'}",42272 E Black Bear Trail S27 T5s R12e,"$1,000,000"
Value Link Realty Llc,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,614'}",2601 E Mesquite Street Sawyer Estates,"$4,000,000"
Life Real Estate,"{'Beds': '6', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,767'}",6517 E Heritage Road S11 T4s R8e,"$1,000,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '6,156'}",463 W Patrick Court Perkins Ranch,"$4,000,000"
RE/MAX Solutions,"{'Beds': '12', 'Baths': '8', 'Sq.Ft.': '5,342'}",14999 N Highway 79 Comm @ Ne Cor Of Sec 12 5S-9E Th W 1042.26' Th S54,"$850,000"
Jk Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,711'}",2574 E Camina Plata Acres+ Custom Homesite,"$3,999,999"
