agency,description,name,price
B & R Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,944'}",1030 S Barrel Cactus Ridge Out Of Pima County,"$317,000"
"Glenn Realty, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,116'}",676 S Pancho Place  ,"$339,900"
Launch Powered By Compass,"{'Beds': '3', 'Baths': '5', 'Sq.Ft.': '6,501'}",35801 N Meander Way Carefree 3A Amd,"$5,995,000"
Realty One Group,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,537'}",8640 W Monaco Boulevard Arizona City Unit Three,"$750,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '6,500'}",9010 E Northview Lane Velvet Shadows 3,"$5,995,000"
RE/MAX Casa Grande,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,028'}",7754 W Alsdorf Road No- Hoa Horse Property,"$460,000"
Keller Williams Realty Sonoran Living,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,086'}",697 N Lola Lee Road S22 T6s R7e,"$3,750,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '8', 'Baths': '7 F 1 1/2', 'Sq.Ft.': '12,093'}",37801 N Stirrup Circle Cow Track Estates 2,"$5,995,000"
Keller Williams Legacy One,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,647'}",9959 W Lesna Drive Arizona City Unit Nine Resubdivision,"$424,900"
Reata Land,"{'Beds': '3', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,344'}",15296 W Belmont Drive Tamarack Village,"$1,400,000"
Realty Executives,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '6,420'}",6901 E Restin Road Carefree Plat 3B,"$5,400,000"
Coldwell Banker Rox Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,209'}",14264 S Baniff Lane Arizona City Unit Three,"$400,000"
Exp Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,393'}",8260 N Buena Vista Drive Las Montanas Unit I,"$1,300,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '6,059'}",6623 E El Sendero Road Carefree Grand View Estates,"$4,999,900"
Realty One Group,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,950'}",15171 S Diablo Road Arizona City Unit Nine Amd,"$399,800"
Keller Williams Realty Sonoran Living,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,280'}",301 N Pottebaum Road Moeller-Seller's Unit No 1,"$1,200,000"
Realty Executives,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '7,783'}",39601 N Ocotillo Ridge Drive Ocotillo Ridge Estates,"$4,800,000"
Mountain Lake Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,600'}",15200 S Country Club Way Arizona City Unit Seven,"$399,750"
